src/renderer/App.tsx(132,15): error TS2352: Conversion of type 'Track' to type 'Record<string, unknown>' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
src/renderer/App.tsx(568,43): error TS2339: Property 'path' does not exist on type 'File'.
src/renderer/audio/eq.ts(449,5): error TS2304: Cannot find name 'logAudioEvent'.
src/renderer/audio/eq.ts(463,5): error TS2304: Cannot find name 'logAudioEvent'.
src/renderer/components/LibraryMaintenanceModal.tsx(43,15): error TS2345: Argument of type '{ ok: boolean; count?: number | undefined; samples?: unknown[] | undefined; error?: string | undefined; }' is not assignable to parameter of type 'SetStateAction<AlacResult | null>'.
src/renderer/components/playback/Toolbar.tsx(315,46): error TS2551: Property 'musicmanRadio' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'. Did you mean 'musicmanDj'?
src/renderer/components/playback/Toolbar.tsx(596,44): error TS2551: Property 'musicmanRadio' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'. Did you mean 'musicmanDj'?
src/renderer/components/playback/Toolbar.tsx(884,46): error TS2551: Property 'musicmanRadio' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'. Did you mean 'musicmanDj'?
src/renderer/components/PlayCacheModal.tsx(43,36): error TS2339: Property 'onPrepareAlacCacheProgress' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/components/PlayCacheModal.tsx(43,64): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/renderer/components/PlayCacheModal.tsx(50,42): error TS2339: Property 'prepareAlacCache' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/components/PlayCacheModal.tsx(68,42): error TS2339: Property 'pruneAlacCache' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/components/PlayCacheModal.tsx(83,26): error TS2339: Property 'cancelAlacCache' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/components/sidebar/AlbumArtPanel.tsx(85,85): error TS2339: Property 'path' does not exist on type 'File'.
src/renderer/hooks/useAudio.ts(261,44): error TS2339: Property 'currentTrack' does not exist on type 'PlaybackState'.
src/renderer/hooks/useAudio.ts(651,26): error TS2339: Property 'recordPlay' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/hooks/useAudio.ts(809,11): error TS2339: Property 'currentTrack' does not exist on type 'PlaybackState'.
src/renderer/hooks/useAudio.ts(810,26): error TS2339: Property 'recordSkip' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/hooks/useAudio.ts(810,50): error TS2339: Property 'currentTrack' does not exist on type 'PlaybackState'.
src/renderer/hooks/useAudio.ts(810,80): error TS2339: Property 'currentTrack' does not exist on type 'PlaybackState'.
src/renderer/hooks/useAudio.ts(814,11): error TS2339: Property 'currentTrack' does not exist on type 'PlaybackState'.
src/renderer/hooks/useAudio.ts(815,20): error TS2339: Property 'currentTrack' does not exist on type 'PlaybackState'.
src/renderer/views/DeviceView.tsx(120,24): error TS2339: Property 'getAppVersion' does not exist on type '{ loadTracks: () => Promise<{ tracks: Track[]; playlists: { name: string; trackIds: number[]; }[]; }>; onMenuAction: (callback: (action: string) => void) => () => void; setLibraryContext: (ctx: string) => Promise<...>; ... 78 more ...; onBandcampProfileUpdated: (callback: (r: { ...; }) => void) => () => void; }'.
src/renderer/views/DeviceView.tsx(120,45): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/renderer/views/MusicManView.tsx(7,28): error TS2307: Cannot find module '../assets/musicman-avatar.png' or its corresponding type declarations.
src/renderer/views/SmartPlaylistView.tsx(410,16): error TS2769: No overload matches this call.
src/renderer/views/SongsView.tsx(381,14): error TS2554: Expected 0 arguments, but got 1.
src/renderer/views/SongsView.tsx(573,35): error TS2322: Type 'RefObject<HTMLDivElement | null>' is not assignable to type 'LegacyRef<HTMLDivElement> | undefined'.
